Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month-Year,Age Group,Cost per Unit,Inventory Days,Profit Margin %,Inventory Turnover
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,2023-11,Young Adult,37.19,59,25.62,0.05
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,2023-02,Young Adult,407.3,37,18.54,0.05
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,2023-01,Adult,21.98,79,26.73,0.01
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,2023-05,Adult,360.41,25,27.92,0.04
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,2023-05,Young Adult,36.48,20,27.04,0.1
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,2023-04,Adult,26.96,46,10.13,0.02
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,2023-03,Adult,20.41,46,18.36,0.04
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,2023-02,Young Adult,17.87,67,28.52,0.06
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,2023-12,Senior,232.4,85,22.53,0.02
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,2023-10,Senior,37.81,37,24.38,0.11
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,2023-02,Youth,41.18,30,17.64,0.07
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,2023-10,Young Adult,19.65,54,21.4,0.06
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,2023-08,Youth,368.24,83,26.35,0.04
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,2023-01,Senior,21.05,14,29.83,0.29
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,2023-01,Adult,355.18,43,28.96,0.09
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,2023-02,Youth,379.6,15,24.08,0.2
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,2023-04,Young Adult,20.89,72,16.44,0.06
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,2023-04,Adult,18.11,89,27.56,0.02
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,2023-09,Senior,20.24,68,19.04,0.03
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,2023-11,Youth,268.35,75,10.55,0.04
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,2023-01,Adult,364.2,15,27.16,0.07
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,2023-10,Teen,40.79,85,18.42,0.02
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,2023-04,Young Adult,24.95,72,16.83,0.06
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,2023-11,Adult,269.24,65,10.25,0.02
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,2023-12,Senior,35.53,29,28.94,0.03
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,2023-10,Young Adult,418.91,74,16.22,0.03
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,2023-08,Adult,18.84,84,24.64,0.02
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,2023-04,Adult,399.06,53,20.19,0.02
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,2023-08,Adult,24.81,59,17.3,0.02
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,2023-10,Adult,268.11,25,10.63,0.12
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,2023-05,Adult,238.25,66,20.58,0.06
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,2023-01,Young Adult,22.27,81,25.77,0.04
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,2023-03,Adult,38.71,89,22.58,0.02
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,2023-12,Senior,44.24,77,11.52,0.04
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,2023-08,Senior,263.39,37,12.2,0.08
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,2023-06,Senior,257.48,15,14.17,0.2
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,2023-05,Teen,22.31,84,10.76,0.04
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,2023-03,Adult,40.44,79,19.12,0.05
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,2023-04,Youth,22.53,48,24.9,0.08
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,2023-06,Adult,42.33,10,15.34,0.1
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,2023-02,Young Adult,21.97,25,12.12,0.08
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,2023-02,Youth,233.23,28,22.26,0.11
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,2023-07,Adult,236.55,36,21.15,0.03
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,2023-02,Youth,19.67,75,21.32,0.01
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,2023-07,Senior,23.18,57,22.73,0.02
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,2023-06,Youth,228.18,28,23.94,0.14
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,2023-11,Adult,407.01,41,18.6,0.07
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,2023-05,Senior,212.82,56,29.06,0.05
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,2023-01,Senior,385.12,49,22.98,0.04
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,2023-08,Young Adult,20.39,57,18.44,0.05
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,2023-10,Young Adult,17.63,24,29.48,0.12
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,2023-03,Adult,258.43,80,13.86,0.01
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,2023-07,Young Adult,38.09,29,23.82,0.07
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,2023-02,Adult,433.85,28,13.23,0.11
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,2023-10,Young Adult,22.84,48,23.87,0.08
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,2023-05,Young Adult,246.64,21,17.79,0.14
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,2023-11,Senior,22.67,34,24.43,0.03
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,2023-11,Teen,239.04,47,20.32,0.09
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,2023-07,Senior,43.93,56,12.14,0.02
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,2023-10,Young Adult,39.68,87,20.64,0.03
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,2023-04,Youth,39.61,21,20.78,0.19
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,2023-12,Teen,42.93,82,14.14,0.02
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,2023-02,Senior,18.41,36,26.36,0.06
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,2023-01,Adult,18.54,76,25.84,0.05
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,2023-12,Senior,440.99,29,11.8,0.14
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,2023-04,Adult,26.26,21,12.47,0.05
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,2023-05,Adult,267.92,41,10.69,0.1
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,2023-02,Youth,251.88,30,16.04,0.03
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,2023-04,Senior,19.47,52,22.12,0.06
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,2023-02,Adult,251.51,17,16.16,0.06
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,2023-07,Senior,22.31,41,10.76,0.1
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,2023-05,Youth,368.02,83,26.4,0.05
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,2023-08,Young Adult,26.78,25,10.73,0.12
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,2023-11,Teen,370.34,59,25.93,0.07
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,2023-07,Senior,43.97,90,12.06,0.04
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,2023-03,Youth,40.38,90,19.24,0.02
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,2023-07,Adult,41.24,76,17.52,0.03
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,2023-07,Adult,392.49,48,21.5,0.06
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,2023-04,Young Adult,212.77,42,29.08,0.02
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,2023-12,Senior,24.42,17,18.6,0.12
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,2023-05,Adult,40.89,66,18.22,0.02
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,2023-12,Young Adult,44.71,35,10.58,0.11
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,2023-12,Senior,40.91,43,18.18,0.05
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,2023-11,Adult,24.52,65,18.27,0.05
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,2023-02,Young Adult,39.74,85,20.52,0.04
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,2023-11,Youth,22.85,36,23.83,0.08
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,2023-11,Young Adult,36.57,62,26.86,0.03
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,2023-03,Senior,351.47,89,29.71,0.01
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,2023-10,Senior,398.99,63,20.2,0.06
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,2023-05,Senior,23.27,18,22.43,0.06
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,2023-03,Senior,350.55,44,29.89,0.02
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,2023-08,Senior,26.42,10,11.93,0.4
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,2023-07,Young Adult,447.59,28,10.48,0.14
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,2023-05,Adult,387.68,33,22.46,0.06
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,2023-11,Young Adult,23.75,66,20.83,0.03
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,2023-12,Adult,230.19,71,23.27,0.03
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,2023-10,Senior,413.51,37,17.3,0.05
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,2023-04,Senior,38.28,82,23.44,0.02
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,2023-12,Adult,245.22,32,18.26,0.12
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,2023-06,Adult,23.47,32,21.77,0.03
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,2023-01,Young Adult,267.77,68,10.74,0.03
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,2023-04,Adult,21.82,86,12.72,0.02
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,2023-01,Senior,22.16,19,11.36,0.05
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,2023-06,Young Adult,429.38,27,14.12,0.07
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,2023-07,Youth,377.62,19,24.48,0.05
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,2023-05,Adult,38.01,15,23.98,0.07
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,2023-02,Youth,226.24,80,24.59,0.05
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,2023-04,Young Adult,19.14,85,23.44,0.04
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,2023-10,Young Adult,436.47,50,12.71,0.08
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,2023-06,Young Adult,223.56,77,25.48,0.04
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,2023-04,Young Adult,433.52,57,13.3,0.05
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,2023-12,Adult,363.36,32,27.33,0.09
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,2023-09,Adult,21.28,17,14.88,0.12
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,2023-07,Youth,21.71,29,13.16,0.14
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,2023-11,Senior,384.34,44,23.13,0.07
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,2023-08,Youth,26.37,83,12.1,0.01
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,2023-03,Youth,444.31,34,11.14,0.06
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,2023-05,Young Adult,390.06,64,21.99,0.06
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,2023-03,Senior,43.5,29,13.0,0.1
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,2023-05,Senior,43.93,78,12.14,0.01
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,2023-10,Young Adult,38.03,35,23.94,0.11
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,2023-10,Senior,22.27,66,25.77,0.06
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,2023-05,Adult,23.04,40,23.2,0.05
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,2023-10,Young Adult,401.94,80,19.61,0.05
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,2023-08,Adult,36.57,39,26.86,0.05
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,2023-10,Young Adult,24.42,75,18.6,0.04
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,2023-07,Young Adult,17.83,83,28.68,0.02
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,2023-07,Youth,436.92,55,12.62,0.02
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,2023-04,Youth,260.1,59,13.3,0.03
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,2023-03,Senior,441.82,83,11.64,0.01
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,2023-09,Youth,244.79,52,18.4,0.04
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,2023-09,Adult,36.05,24,27.9,0.17
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,2023-02,Youth,214.78,48,28.41,0.06
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,2023-01,Adult,39.78,58,20.44,0.02
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,2023-02,Youth,18.15,63,27.4,0.03
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,2023-03,Adult,231.82,21,22.73,0.1
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,2023-11,Adult,434.24,47,13.15,0.04
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,2023-03,Adult,41.52,57,16.96,0.07
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,2023-12,Adult,361.37,49,27.73,0.08
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,2023-08,Adult,22.16,42,26.13,0.02
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,2023-11,Youth,35.4,44,29.2,0.02
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,2023-02,Young Adult,267.44,19,10.85,0.21
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,2023-07,Adult,43.07,50,13.86,0.02
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,2023-07,Senior,442.4,13,11.52,0.23
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,2023-11,Adult,17.58,50,29.68,0.06
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,2023-08,Adult,38.45,60,23.1,0.07
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,2023-09,Youth,266.69,76,11.1,0.01
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,2023-05,Teen,25.37,26,15.43,0.08
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,2023-10,Youth,22.35,18,10.6,0.17
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,2023-01,Senior,22.53,69,24.9,0.06
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,2023-12,Young Adult,36.01,15,27.98,0.07
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,2023-02,Adult,417.58,12,16.48,0.33
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,2023-12,Senior,390.14,79,21.97,0.03
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,2023-10,Senior,258.06,13,13.98,0.23
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,2023-05,Young Adult,398.57,19,20.29,0.21
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,2023-11,Adult,21.18,70,15.28,0.06
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,2023-06,Senior,423.18,32,15.36,0.12
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,2023-02,Adult,219.72,23,26.76,0.09
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,2023-05,Young Adult,43.76,78,12.48,0.05
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,2023-08,Adult,40.02,41,19.96,0.05
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,2023-03,Senior,380.04,18,23.99,0.11
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,2023-08,Adult,21.06,28,29.8,0.07
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,2023-01,Senior,40.36,20,19.28,0.15
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,2023-05,Adult,402.28,45,19.54,0.07
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,2023-09,Senior,235.97,50,21.34,0.08
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,2023-04,Young Adult,355.14,72,28.97,0.06
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,2023-09,Adult,44.98,88,10.04,0.03
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,2023-02,Senior,255.08,59,14.97,0.02
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,2023-11,Teen,388.83,31,22.23,0.1
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,2023-06,Youth,21.65,71,13.4,0.03
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,2023-11,Senior,229.92,61,23.36,0.05
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,2023-09,Young Adult,21.51,68,13.96,0.03
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,2023-11,Senior,23.87,45,20.43,0.09
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,2023-04,Adult,220.94,35,26.35,0.03
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,2023-03,Young Adult,19.18,46,23.28,0.09
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,2023-07,Adult,38.24,36,23.52,0.06
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,2023-03,Adult,42.99,19,14.02,0.11
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,2023-10,Adult,25.25,11,15.83,0.18
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,2023-09,Young Adult,226.21,48,24.6,0.02
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,2023-01,Adult,266.46,70,11.18,0.04
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,2023-11,Youth,241.9,87,19.37,0.05
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,2023-06,Senior,25.49,86,15.03,0.05
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,2023-09,Adult,240.08,42,19.97,0.07
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,2023-01,Young Adult,37.13,78,25.74,0.05
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,2023-02,Youth,20.26,27,18.96,0.04
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,2023-07,Youth,44.8,51,10.4,0.08
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,2023-06,Senior,43.86,64,12.28,0.03
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,2023-05,Adult,20.06,23,19.76,0.13
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,2023-01,Senior,39.6,16,20.8,0.06
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,2023-05,Senior,26.22,58,12.6,0.05
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,2023-10,Senior,18.83,64,24.68,0.02
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,2023-02,Senior,41.99,71,16.02,0.03
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,2023-02,Young Adult,375.31,28,24.94,0.11
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,2023-09,Senior,35.4,78,29.2,0.05
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,2023-02,Senior,24.13,12,19.57,0.08
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,2023-09,Young Adult,258.61,61,13.8,0.05
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,2023-03,Adult,35.69,82,28.62,0.05
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,2023-03,Senior,233.08,28,22.31,0.11
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,2023-12,Adult,446.44,26,10.71,0.12
